Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"FET Type","Technology","Drain to Source Voltage (Vdss)","Current - Continuous Drain (Id) @ 25°C","Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs","Vgs(th) (Max) @ Id","Gate Charge (Qg) (Max) @ Vgs","Vgs (Max)","Input Capacitance (Ciss) (Max) @ Vds","FET Feature","Power Dissipation (Max)","Operating Temperature","Grade","Qualification","Mounting Type","Supplier Device Package","Package / Case"
"https://assets.nexperia.com/documents/data-sheet/BUK9Y153-100E.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6530/MFG_1727%7ESOT669%7E%7E4.jpg","1727-1493-2-ND,1727-1493-1-ND,1727-1493-6-ND","BUK9Y153-100E,115","Nexperia USA Inc.","Nexperia USA Inc.","MOSFET N-CH 100V 9.4A LFPAK56","7,546","0.98","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TrenchMOS™","Active","N-Channel","MOSFET (Metal Oxide)","100 V","9.4A (Tc)","5V","146mOhm @ 2A, 10V","2.1V @ 1mA","6.8 nC @ 5 V","±10V","716 pF @ 25 V","-","37W (Tc)","-55°C ~ 175°C (TJ)","Automotive","AEC-Q101","Surface Mount","LFPAK56, Power-SO8","SC-100, SOT-669"
"https://www.onsemi.com/pdf/datasheet/nttfs6h860nl-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6295/488%7E511AB%7E%7E8.jpg","488-NTTFS6H860NLTAGTR-ND,488-NTTFS6H860NLTAGCT-ND,488-NTTFS6H860NLTAGDKR-ND","NTTFS6H860NLTAG","onsemi","onsemi","MOSFET N-CH 80V 8.1A/30A 8WDFN","3,489","0.99","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","80 V","8.1A (Ta), 30A (Tc)","4.5V, 10V","20mOhm @ 5A, 10V","2V @ 30µA","12 nC @ 10 V","±20V","610 pF @ 40 V","-","3.1W (Ta), 42W (Tc)","-55°C ~ 175°C (TJ)","-","-","Surface Mount","8-WDFN (3.3x3.3)","8-PowerWDFN"
"https://www.st.com/content/ccc/resource/technical/document/datasheet/group3/53/86/08/77/e2/3d/48/5f/DM00348259/files/DM00348259.pdf/jcr:content/translations/en.DM00348259.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2802/497%7E8SOIC-3.9%7E%7E8.jpg","497-17150-2-ND,497-17150-1-ND,497-17150-6-ND","STS8N6LF6AG","STMicroelectronics","STMicroelectronics","MOSFET N-CHANNEL 60V 8A 8SO","1,170","0.99","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","STripFET™ F6","Active","N-Channel","MOSFET (Metal Oxide)","60 V","8A (Ta)","4.5V, 10V","24mOhm @ 4A, 10V","2.5V @ 250µA","27 nC @ 10 V","±20V","1340 pF @ 25 V","-","3.2W (Ta)","-55°C ~ 175°C (TJ)","Automotive","AEC-Q101","Surface Mount","8-SOIC","8-SOIC (0.154"", 3.90mm Width)"
"https://www.diodes.com/assets/Datasheets/DMT6012LFDF.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6347/31%7EU-DFN2020-6-TYPEF%7EF%7E6.jpg","31-DMT6012LFDF-7TR-ND,31-DMT6012LFDF-7CT-ND,31-DMT6012LFDF-7DKR-ND","DMT6012LFDF-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 60V 9.5A 6UDFN","744","1.02","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","60 V","9.5A (Ta)","4.5V, 10V","14mOhm @ 8.5A, 10V","2.3V @ 250µA","13.6 nC @ 10 V","±20V","785 pF @ 30 V","-","900mW (Ta), 11W (Tc)","-55°C ~ 150°C (TJ)","-","-","Surface Mount","U-DFN2020-6 (Type F)","6-UDFN Exposed Pad"
"https://www.infineon.com/dgdl/irf520npbf.pdf?fileId=5546d462533600a4015355e340711985","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/698-TO-220AB.jpg","IRF520NPBF-ND","IRF520NPBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 100V 9.7A TO220AB","3,113","1.03","0","1","Tube","HEXFET®","Active","N-Channel","MOSFET (Metal Oxide)","100 V","9.7A (Tc)","10V","200mOhm @ 5.7A, 10V","4V @ 250µA","25 nC @ 10 V","±20V","330 pF @ 25 V","-","48W (Tc)","-55°C ~ 175°C (TJ)","-","-","Through Hole","TO-220AB","TO-220-3"
"https://www.vishay.com/docs/68748/si4431cd.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6348/742%7E5498%7EDY%2CEY%7E8.jpg","SI4431CDY-T1-E3TR-ND,SI4431CDY-T1-E3CT-ND,SI4431CDY-T1-E3DKR-ND","SI4431CDY-T1-E3","Vishay Siliconix","Vishay Siliconix","MOSFET P-CH 30V 9A 8SO","5,666","1.05","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TrenchFET®","Active","P-Channel","MOSFET (Metal Oxide)","30 V","9A (Tc)","4.5V, 10V","32mOhm @ 7A, 10V","2.5V @ 250µA","38 nC @ 10 V","±20V","1006 pF @ 15 V","-","4.2W (Tc)","-55°C ~ 150°C (TJ)","-","-","Surface Mount","8-SOIC","8-SOIC (0.154"", 3.90mm Width)"
"https://www.onsemi.com/download/data-sheet/pdf/nvmfs6h858nl-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6285/488%7E488AA%7E%7E5.jpg","488-NVMFS6H858NLT1GTR-ND,488-NVMFS6H858NLT1GCT-ND,488-NVMFS6H858NLT1GDKR-ND","NVMFS6H858NLT1G","onsemi","onsemi","MOSFET N-CH 80V 8.7A/30A 5DFN","2,022","1.05","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","80 V","8.7A (Ta), 30A (Tc)","4.5V, 10V","19.5mOhm @ 5A, 10V","2V @ 30µA","12 nC @ 10 V","±20V","623 pF @ 40 V","-","3.5W (Ta), 42W (Tc)","-55°C ~ 175°C (TJ)","Automotive","AEC-Q101","Surface Mount","5-DFN (5x6) (8-SOFL)","8-PowerTDFN, 5 Leads"
"https://toshiba.semicon-storage.com/info/datasheet_en_20160223.pdf?did=13672","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6449/264%7E2-3V1S%7E%7E8.jpg","264-TPCP8107LFTR-ND,264-TPCP8107LFCT-ND,264-TPCP8107LFDKR-ND","TPCP8107,LF","Toshiba Semiconductor and Storage","Toshiba Semiconductor and Storage","MOSFET P-CH 40V 8A PS-8","4,756","1.06","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","U-MOSVI","Active","P-Channel","MOSFET (Metal Oxide)","40 V","8A (Ta)","6V, 10V","18mOhm @ 4A, 10V","3V @ 1mA","44.6 nC @ 10 V","+10V, -20V","2160 pF @ 10 V","-","1W (Ta)","175°C","Automotive","AEC-Q101","Surface Mount","PS-8","8-SMD, Flat Leads"
"https://www.infineon.com/dgdl/irfr120npbf.pdf?fileId=5546d462533600a40153562d2620204d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6164/448%7EIPAK%28TO251AA%29%7E%7E3.jpg","IRFU120NPBF-ND","IRFU120NPBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 100V 9.4A IPAK","1,903","1.07","0","1","Tube","HEXFET®","Active","N-Channel","MOSFET (Metal Oxide)","100 V","9.4A (Tc)","10V","210mOhm @ 5.6A, 10V","4V @ 250µA","25 nC @ 10 V","±20V","330 pF @ 25 V","-","48W (Tc)","-55°C ~ 175°C (TJ)","-","-","Through Hole","IPAK (TO-251AA)","TO-251-3 Short Leads, IPAK, TO-251AA"
"https://www.diodes.com/assets/Datasheets/DMPH4029LFGQ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6295/31%7EPOWERDI3333-8%7E%7E8.jpg","31-DMPH4029LFGQ-7TR-ND,31-DMPH4029LFGQ-7CT-ND,31-DMPH4029LFGQ-7DKR-ND","DMPH4029LFGQ-7","Diodes Incorporated","Diodes Incorporated","MOSFET P-CH 40V 8A/22A PWRDI3333","721","1.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","P-Channel","MOSFET (Metal Oxide)","40 V","8A (Ta), 22A (Tc)","4.5V, 10V","29mOhm @ 3A, 10V","3V @ 250µA","34 nC @ 10 V","±20V","1626 pF @ 20 V","-","1.2W (Ta)","-55°C ~ 175°C (TJ)","Automotive","AEC-Q101","Surface Mount","POWERDI3333-8","8-PowerVDFN"
